date,RV,RQ,RS_plus,RS_minus,delta_J,BV,nobs
2018-01-01,0.002932366824069146,1.3354299497904573e-05,0.0012885591777562408,0.0016438076463129048,-0.000355248468556664,0.0027308068972200597,287
2018-01-02,0.011253351347732076,0.0003086495989011497,0.005955355678870737,0.005297995668861338,0.0006573600100093996,0.01245592501874355,287
2018-01-03,0.004761461052809446,5.266259455320798e-05,0.0022956366300762258,0.00246582442273322,-0.00017018779265699432,0.0048111410630927946,287
2018-01-04,0.005261983870062001,4.624516070900564e-05,0.002770406057524383,0.002491577812537619,0.000278828244986764,0.0052939544152899864,263
2018-01-05,0.004698613112987098,3.6743482975236455e-05,0.0021852749059197976,0.002513338207067301,-0.0003280633011475036,0.004303286900095944,287
2018-01-06,0.0026160188174110567,1.4436685230664121e-05,0.0014686171841683704,0.0011474016332426867,0.0003212155509256837,0.0026595956663540963,287
2018-01-07,0.0031077951770249186,1.3605421722705764e-05,0.0017505896878757254,0.001357205489149193,0.0003933841987265325,0.002927384649735714,287
2018-01-08,0.030202470610924275,0.00291582115232042,0.014849261681948465,0.015353208928975811,-0.0005039472470273459,0.03242093937904903,287
2018-01-09,0.013061126793126404,0.00034851967500071216,0.006107589411307339,0.006953537381819065,-0.0008459479705117262,0.012717148404225265,287
2018-01-10,0.020412147120070605,0.0006004621610582564,0.009561444145287928,0.010850702974782677,-0.0012892588294947487,0.02072765135663018,287
2018-01-11,0.04094354243925044,0.008286395905352795,0.018976402034494574,0.021967140404755878,-0.002990738370261304,0.04011074392118397,287
2018-01-12,0.007824905704819123,9.13744190269333e-05,0.004257095664992645,0.00356781003982648,0.0006892856251661649,0.007259352084069686,287
2018-01-13,0.003979281832666871,2.5324864050591506e-05,0.002128654078547009,0.0018506277541198615,0.0002780263244271475,0.004009969850779781,287
2018-01-14,0.008178819395378211,0.00012620741004707765,0.0035133144869750306,0.004665504908403181,-0.0011521904214281502,0.008302368232270504,287
2018-01-15,0.004294226410981543,2.805922255437229e-05,0.0017559566310448769,0.0025382697799366666,-0.0007823131488917897,0.004494796219459732,287
2018-01-16,0.07602220867027337,0.014663424427209155,0.040835789861176364,0.03518641880909701,0.005649371052079355,0.07659515925106217,287
2018-01-17,0.056953649635646086,0.0038049718397615184,0.028524991586260262,0.02842865804938583,9.633353687443086e-05,0.055746816727603864,287
2018-01-18,0.024083918948462,0.0005777684345803038,0.01195824320044575,0.01212567574801625,-0.0001674325475704997,0.02472247301491633,287
2018-01-19,0.010824392213907396,0.00018071478242924282,0.006307198398416697,0.0045171938154906985,0.0017900045829259987,0.01036426859475953,287
2018-01-20,0.00460548417581191,4.761879548750751e-05,0.0026724664471953,0.0019330177286166102,0.0007394487185786898,0.004161688233505758,287
2018-01-21,0.011135938187159805,0.00011515027564521773,0.004906604616859297,0.006229333570300507,-0.0013227289534412101,0.011796805651768289,287
2018-01-22,0.012161766701774653,0.0002391862889411279,0.0059351345222368405,0.006226632179537815,-0.00029149765730097487,0.011565489528120337,287
2018-01-23,0.009405161156685105,0.00012306495517729938,0.004873145149527327,0.004532016007157779,0.0003411291423695475,0.008782944630712452,287
2018-01-24,0.005117321489898172,3.8882146781112944e-05,0.0025490663259026,0.0025682551639955717,-1.9188838092971602e-05,0.005008132786699509,287
2018-01-25,0.0035487875975874043,1.4424233242981225e-05,0.0016435845291720994,0.001905203068415305,-0.00026161853924320556,0.0032545422169907917,287
2018-01-26,0.005370368333806522,5.578101472209841e-05,0.0027024598711070493,0.0026679084626994717,3.4551408407577575e-05,0.0051192734136343565,287
2018-01-27,0.002499930557248231,6.991879406804537e-06,0.001420507388481644,0.0010794231687665866,0.0003410842197150575,0.002502255827272921,287
2018-01-28,0.004422581644051521,3.4184656173799985e-05,0.002470027896190097,0.0019525537478614244,0.0005174741483286727,0.0043683781328016985,287
2018-01-29,0.00300201584979417,1.853042154798699e-05,0.0012322286772627436,0.0017697871725314267,-0.0005375584952686831,0.003033055690944885,287
2018-01-30,0.007187978868935942,8.347147461636643e-05,0.0031699379475552333,0.004018040921380709,-0.0008481029738254759,0.006708542433558175,287
2018-01-31,0.005198805069266609,3.73688717222649e-05,0.002679069742249752,0.0025197353270168562,0.00015933441523289594,0.005482873751302736,287
2018-02-01,0.011202396268512441,0.0003534389492993273,0.006134650725469465,0.005067745543042979,0.0010669051824264862,0.011025942481587302,287
2018-02-02,0.03614586053094926,0.008970245487221527,0.023468653000170113,0.012677207530779147,0.010791445469390966,0.030106667915501165,287
2018-02-03,0.008569334569927381,8.846703445053093e-05,0.0045114194382966264,0.004057915131630755,0.00045350430666587106,0.007580701542650074,287
2018-02-04,0.011247183550612876,0.00018947020611556343,0.005232624279617573,0.006014559270995305,-0.0007819349913777323,0.011775777304557538,287
2018-02-05,0.027345172416381763,0.0015985995856628288,0.015390505962678049,0.01195466645370371,0.0034358395089743397,0.027447609013718417,287
2018-02-06,0.047497491034564666,0.004438664656076078,0.028934610601589278,0.01856288043297539,0.01037173016861389,0.04418527742165922,287
2018-02-07,0.015974828368417814,0.0002880288771164488,0.00707791662915717,0.008896911739260643,-0.0018189951101034727,0.01587284764357883,287
2018-02-08,0.000596452621154715,2.3185052905459256e-07,0.0005477942380074983,4.8658383147216774e-05,0.0004991358548602815,0.00046866808991026136,5
2018-02-09,0.00290298871311261,1.3824464514794709e-05,0.00184494751753861,0.0010580411955740006,0.0007869063219646095,0.0024400640878325737,168
2018-02-10,0.006430570373236046,4.82934988046109e-05,0.0029127324979697894,0.0035178378752662564,-0.000605105377296467,0.006413919861431775,284
2018-02-11,0.005889859309290686,3.536125835124373e-05,0.002732127575639588,0.003157731733651097,-0.0004256041580115088,0.005667739212048566,281
2018-02-12,0.0031424393500003238,1.1323906370752628e-05,0.0017762901393558034,0.0013661492106445202,0.00041014092871128325,0.0030832466033449205,287
2018-02-13,0.0017792932028105786,3.4576440380748214e-06,0.000784660493751374,0.0009946327090592046,-0.0002099722153078307,0.0017399951460851874,287
2018-02-14,0.0016189876119319625,4.644582413284242e-06,0.0009955902365548545,0.0006233973753771078,0.00037219286117774666,0.001513204380159803,287
2018-02-15,0.002263635824850255,1.7305155335196004e-05,0.0009478578393032234,0.0013157779855470318,-0.0003679201462438084,0.0021214778413484966,287
2018-02-16,0.0014695292442012484,2.4463207828389e-06,0.0007405155660707526,0.000729013678130496,1.1501887940256611e-05,0.0014896948348298244,287
2018-02-17,0.0011035910766043818,1.1796756827838282e-06,0.0005730931411641009,0.0005304979354402809,4.259520572382001e-05,0.0011857876764118469,287
