date,RV,RQ,RS_plus,RS_minus,delta_J,BV,nobs,RQ_rv2
2000-01-03,0.0004035646379464,1.9705569626838424e-07,0.00012772679521359998,0.0002758378427328,-0.00014811104751920003,0.0004439095586585,396.0,1.6286441700080892e-07
2000-01-04,0.0004360024201371,1.8014700449225756e-07,0.00014862357571949998,0.0002873788444176,-0.00013875526869810002,0.0004244372798097,396.0,1.9009811036540823e-07
2000-01-05,0.000694515637107,7.002288817067191e-07,0.0003206027151281,0.0003739129219789,-5.331020685080004e-05,0.0008367967983368,396.0,4.823519701861421e-07
2000-01-06,0.0004359120661602,2.3510899563443617e-07,0.0001698392261035,0.0002660728400567,-9.62336139532e-05,0.0004848803931223,397.0,1.9001932942405456e-07
2000-01-07,0.0002968565566273,1.049493448064307e-07,0.00021387909659531325,8.297746003198674e-05,0.00013090163656332652,0.0003239588628305,396.0,8.812381521261736e-08
2000-01-10,0.0001516610387932,1.7101616891695654e-08,8.783311062640876e-05,6.382792816679124e-05,2.4005182459617522e-05,0.0001307731505,396.0,2.3001070687832514e-08
2000-01-11,0.000252425237892,8.375140308658451e-08,8.102536571400002e-05,0.000171399872178,-9.037450646399997e-05,0.000289398346724,396.0,6.37185007248328e-08
2000-01-12,0.0004953667256416,3.549376009870859e-07,0.0001594336152326,0.000335933110409,-0.00017649949517639998,0.000595766398001,397.0,2.453881928728802e-07
2000-01-13,0.0002399037883693,7.160787016234321e-08,0.0001133235724896,0.0001265802158797,-1.3256643390099996e-05,0.0002675964688899,397.0,5.755382767394188e-08
2000-01-14,0.000146726074077,2.525704872386223e-08,7.009407655436918e-05,7.663199752263083e-05,-6.53792096826165e-06,0.0001589246636739,396.0,2.1528540814049292e-08
2000-01-18,9.435160545227462e-05,9.446725851076039e-09,6.523747700295356e-05,2.911412844932106e-05,3.61233485536325e-05,9.719426861228e-05,396.0,8.9022254514217e-09
2000-01-19,0.0001505665993414,2.028700170943589e-08,5.889814657296311e-05,9.16684527684369e-05,-3.277030619547379e-05,0.000142432446126,396.0,2.2670300837233676e-08
2000-01-20,0.0001568255238686,2.3273991119804444e-08,6.923247322962632e-05,8.759305063897369e-05,-1.8360577409347366e-05,0.0001525581565168,396.0,2.459424493666083e-08
2000-01-21,8.011739661517694e-05,6.9985901919263e-09,3.381034438682756e-05,4.630705222834939e-05,-1.249670784152183e-05,8.365757701443606e-05,396.0,6.418797240393566e-09
2000-01-24,0.0002421990554914,7.29786952470287e-08,4.36664309644e-05,0.000198532624527,-0.0001548661935626,0.0002701456926309,396.0,5.866038248092626e-08
2000-01-25,0.0005649689466056,3.3381936939098315e-07,0.000325624024816,0.0002393449217896,8.62791030264e-05,0.0005777710354379,396.0,3.191899106286413e-07
2000-01-26,0.0001616297663279,1.8768023251589555e-08,3.82693793866e-05,0.0001233603869413,-8.50910075547e-05,0.0001369964351784,397.0,2.6124181363211557e-08
2000-01-27,0.0002595586219285,5.440147319753867e-08,0.00010284424876069997,0.0001567143731678,-5.3870124407100043e-05,0.0002332412339136,396.0,6.737067821742199e-08
2000-01-28,0.0004055714668019,1.673432675603678e-07,0.0001582661392552,0.0002473053275467,-8.903918829150003e-05,0.0004090761146295,396.0,1.6448821468384468e-07
2000-01-31,0.0004713384541904,2.4007942149308285e-07,0.0002902336059011,0.0001811048482893,0.00010912875761180001,0.0004899790010736,397.0,2.221599383985958e-07
2000-02-01,0.0001997212129588,2.277856886332639e-08,0.00012133077698226097,7.839043597653902e-05,4.294034100572194e-05,0.0001509257064364,397.0,3.9888562905734336e-08
2000-02-02,0.0002331546901214,4.023475754325159e-08,8.90531314032e-05,0.0001441015587182,-5.504842731500001e-05,0.0002005860352648,397.0,5.4361109525606064e-08
2000-02-03,0.0002094563149682,5.9010654919263775e-08,0.0001215702562508922,8.78860587173078e-05,3.3684197533584404e-05,0.0002429210878439,396.0,4.38719478800578e-08
2000-02-04,0.0001054995838769,1.0256079694044247e-08,3.9962137039023095e-05,6.55374468378769e-05,-2.5575309798853805e-05,0.0001012723046743,396.0,1.1130162198199057e-08
2000-02-07,0.0001153247409116,1.1716821120731365e-08,6.289038838442993e-05,5.243435252717007e-05,1.0456035857259852e-05,0.0001082442659947,396.0,1.3299795866327667e-08
2000-02-08,6.632618784710014e-05,4.093574733172161e-09,4.012525147587509e-05,2.6200936371225047e-05,1.3924315104650046e-05,6.398104979735923e-05,397.0,4.399163194328814e-09
2000-02-09,0.0001525324623566,1.7163550467888797e-08,4.772922176940001e-05,0.0001048032405872,-5.7074018817799996e-05,0.0001310097342486,397.0,2.32661520725676e-08
2000-02-10,0.000150807281085,2.1820339002425292e-08,0.00010170631894453058,4.910096214046942e-05,5.2605356804061166e-05,0.0001477170910979,397.0,2.27428360282502e-08
2000-02-11,0.0001697923149401,3.113375740096538e-08,5.90490805393e-05,0.0001107432344008,-5.169415386150001e-05,0.0001764476052571,396.0,2.8829430212718108e-08
2000-02-14,0.0001814489547531,3.8715070410342354e-08,8.78497439137189e-05,9.35992108393811e-05,-5.749466925662213e-06,0.0001967614556013,397.0,3.292372318099253e-08
2000-02-15,0.0002558854138187,6.562434334348396e-08,0.00012738747500449997,0.0001284979388142,-1.1104638097000322e-06,0.0002561724874835,397.0,6.547734500516733e-08
2000-02-16,0.0001390201430157,1.74903544415856e-08,5.742763517422103e-05,8.159250784147898e-05,-2.416487266725795e-05,0.0001322511037443,397.0,1.9326600164105685e-08
2000-02-17,0.0001496472217956,2.1663201815200458e-08,7.391394082136382e-05,7.573328097423618e-05,-1.819340152872358e-06,0.000147184244453,396.0,2.2394290991141497e-08
