date,RV,RQ,RS_plus,RS_minus,delta_J,BV,nobs
2018-01-01,0.004918210525523384,3.829974073480714e-05,0.002327746211763364,0.0025904643137600195,-0.00026271810199665537,0.004289991017275846,287
2018-01-02,0.007073498441064491,0.0001212223809276092,0.0037378263062929564,0.0033356721347715347,0.0004021541715214217,0.006584694757485641,287
2018-01-03,0.0037111848037360328,1.7879264957647025e-05,0.0019115043015205215,0.0017996805022155113,0.00011182379930501024,0.0034058612394825736,287
2018-01-04,0.0036864227746715127,2.1421633165392038e-05,0.0018314201271222967,0.0018550026475492162,-2.3582520426919515e-05,0.0034368757729510303,263
2018-01-05,0.005038869274210788,7.43920925963047e-05,0.0031185138513805926,0.001920355422830196,0.0011981584285503965,0.004562015500407383,287
2018-01-06,0.003020705468114834,1.7158640788675408e-05,0.0013200712137540296,0.0017006342543608045,-0.0003805630406067749,0.002692557237626346,287
2018-01-07,0.0026249277017366883,9.983027491430474e-06,0.00119630388075725,0.0014286238209794385,-0.00023231994022218845,0.0024503247396503772,287
2018-01-08,0.019152638011785454,0.0013958144637820772,0.008894665265795292,0.01025797274599016,-0.0013633074801948676,0.019712035829056552,287
2018-01-09,0.006649698834007385,6.91294730765125e-05,0.0030545616260710612,0.003595137207936324,-0.0005405755818652627,0.006005636890776037,287
2018-01-10,0.008716988389892813,0.0001345850005187261,0.00442906036033113,0.004287928029561684,0.0001411323307694461,0.008665822044494622,287
2018-01-11,0.02714393913883198,0.002714642585260264,0.013641931024151012,0.013502008114680969,0.00013992290947004334,0.025908930703920082,287
2018-01-12,0.006638664572709631,5.4435769985311625e-05,0.0034281333583492364,0.0032105312143603953,0.00021760214398884115,0.006210936151781426,287
2018-01-13,0.0029188595841204224,1.3261638381492354e-05,0.0015390103571968606,0.0013798492269235614,0.0001591611302732992,0.002934378610976123,287
2018-01-14,0.007230900469183792,0.0001261454241098045,0.0026891056462715127,0.004541794822912279,-0.0018526891766407665,0.007094181522083356,287
2018-01-15,0.00388041954697306,1.6778076831597827e-05,0.001958840842950096,0.0019215787040229638,3.72621389271321e-05,0.003785943843878406,287
2018-01-16,0.05201494150716564,0.006636690253752262,0.0265301195953555,0.025484821911810146,0.0010452976835453529,0.052231625193559915,287
2018-01-17,0.044152992299798806,0.0023808725291259883,0.02197247859778731,0.0221805137020115,-0.00020803510422419055,0.042584811683927484,287
2018-01-18,0.019616741329671804,0.0003866036323632476,0.009919095925883904,0.009697645403787898,0.0002214505220960051,0.019191525561373206,287
2018-01-19,0.010478496110603258,0.0001991080469344513,0.006185655851777946,0.004292840258825313,0.0018928155929526331,0.008945180686175717,287
2018-01-20,0.005534934440823943,6.50520463198071e-05,0.0032953707525546056,0.002239563688269338,0.0010558070642852674,0.005284879418785628,287
2018-01-21,0.010163684344951442,9.316264863982252e-05,0.004474455976403189,0.005689228368548251,-0.0012147723921450623,0.010244181639294058,287
2018-01-22,0.011541705139453951,0.0001855576887603785,0.0057028728109869056,0.005838832328467046,-0.00013595951748014007,0.010818760250536625,287
2018-01-23,0.009943326553392647,0.00011900470316029013,0.005350764615740026,0.004592561937652624,0.0007582026780874017,0.00966576863214539,287
2018-01-24,0.005924086380525575,3.909004026408856e-05,0.002996077787035527,0.002928008593490048,6.806919354547872e-05,0.005977700739953962,287
2018-01-25,0.0033318448559840307,1.3277138012953982e-05,0.0014978154298235864,0.0018340294261604446,-0.0003362139963368582,0.0029907437080194227,287
2018-01-26,0.006320060887205662,6.24417117284062e-05,0.003218443465185927,0.0031016174220197344,0.00011682604316619284,0.00602935895979187,287
2018-01-27,0.0032349297008259104,1.9453893512821096e-05,0.001778979370878057,0.0014559503299478539,0.0003230290409302031,0.003002274895949923,287
2018-01-28,0.0021814776687181627,7.865456266442361e-06,0.0011495139772190344,0.0010319636914991285,0.00011755028571990597,0.002219252056085047,287
2018-01-29,0.002095525114465472,6.863095457095195e-06,0.0008861586074982714,0.0012093665069672003,-0.00032320789946892897,0.0020350810108991945,287
2018-01-30,0.006039262081974056,6.759856070000766e-05,0.002571025365503838,0.0034682367164702186,-0.0008972113509663807,0.005830893529452024,287
2018-01-31,0.004829642117288147,3.521172349216445e-05,0.002423709508130597,0.0024059326091575503,1.7776898973046774e-05,0.005142956548867366,287
2018-02-01,0.007946381627693585,0.0001989647726895389,0.004311616578466202,0.0036347650492273833,0.0006768515292388186,0.008119620110758527,287
2018-02-02,0.016631245821635617,0.0011116487241942601,0.010406995271243998,0.006224250550391619,0.004182744720852379,0.014643632874875943,287
2018-02-03,0.0073755704500795,5.791088006122273e-05,0.003788049858235316,0.0035875205918441846,0.00020052926639113145,0.00656124166946781,287
2018-02-04,0.009179733617870231,0.00010649153641169388,0.004168760189808525,0.005010973428061706,-0.0008422132382531807,0.009159054221681692,287
2018-02-05,0.0200878116726459,0.0007134697265147032,0.010611862947259344,0.009475948725386558,0.0011359142218727858,0.01878799858880016,287
2018-02-06,0.03703205892120345,0.0022056457640235822,0.022348783501146826,0.014683275420056627,0.0076655080810901985,0.035469639003277535,287
2018-02-07,0.014492237020829203,0.00021151649473905577,0.006951438446580747,0.0075407985742484565,-0.0005893601276677094,0.014002212711152666,287
2018-02-08,0.0004594246438785841,9.746397667274647e-08,0.0003325276734975507,0.00012689697038103343,0.00020563070311651726,0.0005551949734228178,5
2018-02-09,0.0029195766965917583,1.2499929526917455e-05,0.0017845104929830142,0.0011350662036087446,0.0006494442893742697,0.002509299886245987,168
2018-02-10,0.006241446069490399,4.5162050579566034e-05,0.002797475874435267,0.003443970195055132,-0.0006464943206198649,0.005885238734046646,284
2018-02-11,0.005572285361058478,3.109619099972693e-05,0.002594980348526525,0.0029773050125319524,-0.0003823246640054273,0.005455261421076813,281
2018-02-12,0.0037029382704304404,2.0556318546573675e-05,0.0022472726409008435,0.0014556656295295965,0.000791607011371247,0.0034183612010566613,287
2018-02-13,0.0024347253076362338,6.7109999763133206e-06,0.0009931937955360633,0.0014415315121001707,-0.00044833771656410735,0.0022077393845156184,287
2018-02-14,0.002313696398507886,1.625162341782796e-05,0.0015328243508323002,0.0007808720476755856,0.0007519523031567145,0.002340459123935322,287
2018-02-15,0.0034615527777677284,3.487866425231827e-05,0.0015332314746311943,0.0019283213031365339,-0.0003950898285053396,0.0032077799775362187,287
2018-02-16,0.002426899340739367,6.842947361159035e-06,0.0012750693503476547,0.0011518299903917123,0.00012323935995594247,0.0024018196440596224,287
2018-02-17,0.0020449023953315252,3.83520760088936e-06,0.0011982445406943363,0.0008466578546371889,0.0003515866860571474,0.002117883288312132,287
2018-02-18,0.005707923935698883,6.017477115516567e-05,0.002441154365981142,0.003266769569717742,-0.0008256152037365997,0.005250536836214059,287
2018-02-19,0.002825029995940322,1.0011420186449936e-05,0.0016648087104219,0.0011602212855184217,0.0005045874249034782,0.0027955335070482907,287
2018-02-20,0.0031908027964824693,3.4473990465757615e-05,0.0012959082939514406,0.0018948945025310288,-0.0005989862085795882,0.003089872051058656,287
2018-02-21,0.005694894568852596,3.8669274412447875e-05,0.0024693686472780905,0.003225525921574505,-0.0007561572742964145,0.005527920988629342,287
2018-02-22,0.004823618617063717,2.297824042380174e-05,0.002034760539849288,0.0027888580772144293,-0.0007540975373651411,0.004677468410353349,287
2018-02-23,0.003145061250823523,1.1700652507257561e-05,0.0015139604794947381,0.0016311007713287853,-0.00011714029183404711,0.002922564056051098,287
2018-02-24,0.0042636078316575145,3.134183350537677e-05,0.0017254327327524623,0.0025381750989050523,-0.00081274236615259,0.0038789768431660545,287
2018-02-25,0.0027181948534669336,7.969368239792825e-06,0.0013206001674292045,0.0013975946860377295,-7.699451860852498e-05,0.0025564541983590762,287
2018-02-26,0.003115082181372969,1.81401958563459e-05,0.0019543295549662074,0.0011607526264067617,0.0007935769285594457,0.002904770651957387,287
2018-02-27,0.002160585317114981,7.863144569126204e-06,0.0011726665829984203,0.000987918734116561,0.00018474784888185942,0.0021877010901283213,287
2018-02-28,0.002313958865395425,1.0911736266510327e-05,0.000968913368321166,0.0013450454970742587,-0.00037613212875309276,0.0021226148330733947,287
2018-03-01,0.0016954440495654498,3.110492650402408e-06,0.0009502045338442516,0.0007452395157211981,0.0002049650181230535,0.0016817802485207991,287
2018-03-02,0.001622955501055857,3.297139699328908e-06,0.000724378191321832,0.0008985773097340251,-0.00017419911841219313,0.0014790001920135319,287
2018-03-03,0.0011653590077064584,2.2865700255827865e-06,0.0005966699272378646,0.0005686890804685939,2.7980846769270736e-05,0.000995701737380245,287
2018-03-04,0.000977711921879099,1.214380096313465e-06,0.000510595315102971,0.0004671166067761278,4.347870832684326e-05,0.000927775342380909,287
2018-03-05,0.0006760236903280465,1.359570539921609e-06,0.0002842561163829008,0.00039176757394514565,-0.00010751145756224484,0.0005213503847039752,287
2018-03-06,0.0017798038190258792,4.3778192719771575e-06,0.0006475103273092205,0.0011322934917166586,-0.0004847831644074381,0.001635086675590789,287
2018-03-07,0.006517003309162826,0.00011770017084519402,0.002735594294680231,0.0037814090144825947,-0.001045814719802364,0.007068374213419984,287
2018-03-08,0.005078826535059592,3.91190472232772e-05,0.0020280905821963846,0.003050735952863207,-0.0010226453706668223,0.004772021647001967,287
2018-03-09,0.008601871071936773,8.179980181387947e-05,0.004014464534358905,0.004587406537577869,-0.000572942003218964,0.008673617396159954,287
