,Pre-publication,Post-pub calm,COVID onset,Post-COVID / 2022+
HAR,0.2025257831231522,0.28093357443383765,,
HARJ,0.1912006848356498,0.29981712380922904,,
SHAR,0.19183328047200088,0.26805187963605515,,
HARQ,0.21084780866857825,0.2272860787190523,,
HARQ_F,0.22305685907768577,0.2428482635388177,,
CHAR,0.19349891120698984,0.3181963794532802,,
HARQSigned,0.1997538038176845,0.2223569570540862,,
